disease,symptom1,symptom2,symptom3,causes,remedies,dietary_recommendations
Flu,fever,cough,headache,viral infection,"rest, hydration",drink plenty of fluids
Cold,sneezing,runny nose,sore throat,viral infection,"rest, fluids",eat vitamin C rich foods
Migraine,throbbing pain,nausea,light sensitivity,"stress, triggers","medication, rest",avoid caffeine and chocolate
Stomach Ache,nausea,vomiting,cramps,food poisoning,"hydration, rest",avoid greasy foods
Diabetes,increased thirst,fatigue,frequent urination,"genetics, lifestyle","medication, exercise",low sugar diet
Asthma,wheezing,shortness of breath,coughing,allergies,"inhalers, medication",avoid allergens
Back Pain,lower back pain,stiffness,spasms,poor posture,physical therapy,ergonomic adjustments
Indigestion,heartburn,belching,bloating,overeating,"antacids, rest",avoid spicy foods
Allergy,rash,sneezing,itchy eyes,allergens,antihistamines,avoid allergens
Hypertension,headache,fatigue,dizziness,"stress, poor diet","medication, exercise",reduce salt intake
Anemia,fatigue,dizziness,shortness of breath,iron deficiency,iron supplements,eat iron-rich foods
Depression,sadness,loss of interest,fatigue,chemical imbalance,"therapy, medication",maintain a balanced diet
Arthritis,joint pain,stiffness,swelling,"aging, injury","medication, exercise",omega-3 rich foods
Insomnia,trouble sleeping,waking up early,tiredness,"stress, anxiety",relaxation techniques,avoid caffeine
Chickenpox,fever,rash,itching,viral infection,"rest, antihistamines",keep skin cool
Hepatitis,jaundice,fatigue,abdominal pain,viral infection,antiviral medication,avoid alcohol
Bronchitis,cough,mucus,chest pain,"smoking, infection","rest, hydration",avoid dairy
Sinusitis,headache,nasal congestion,facial pain,infection,decongestants,drink plenty of fluids
Pneumonia,cough,fever,chest pain,bacterial infection,antibiotics,avoid cold drinks
Tuberculosis,cough,weight loss,night sweats,bacterial infection,antibiotics,maintain a balanced diet
Obesity,weight gain,fatigue,joint pain,"overeating, inactivity","exercise, diet control",low-fat diet
Malaria,fever,chills,headache,mosquito bites,antimalarial medication,stay hydrated
Typhoid,fever,abdominal pain,diarrhea,bacterial infection,antibiotics,avoid raw food
Jaundice,yellow skin,fatigue,dark urine,liver dysfunction,"rest, medication",low-fat diet
Appendicitis,abdominal pain,nausea,vomiting,inflammation of appendix,surgery,avoid solid foods initially
Gout,joint pain,redness,swelling,high uric acid,"medication, rest",avoid purine-rich foods
Gallstones,abdominal pain,nausea,vomiting,bile imbalance,"medication, surgery",avoid fatty foods
Measles,fever,rash,runny nose,viral infection,"rest, fluids",avoid spicy foods
Chickenpox,rash,fever,tiredness,viral infection,antiviral medication,avoid scratching
Mumps,swollen glands,fever,headache,viral infection,"rest, hydration",eat soft foods
Rubella,rash,fever,joint pain,viral infection,"rest, pain relief",avoid contact with others
Diphtheria,sore throat,fever,swollen glands,bacterial infection,antibiotics,avoid dairy
Hepatitis B,jaundice,abdominal pain,fatigue,viral infection,antiviral medication,avoid alcohol
Hepatitis C,fatigue,joint pain,dark urine,viral infection,antiviral medication,avoid alcohol
Hepatitis A,jaundice,fatigue,nausea,viral infection,"rest, hydration",avoid alcohol
Dengue Fever,fever,joint pain,rash,mosquito bites,"pain relief, hydration",avoid aspirin
Zika Virus,fever,rash,joint pain,mosquito bites,"rest, pain relief",drink fluids
Yellow Fever,fever,jaundice,muscle pain,mosquito bites,antiviral medication,stay hydrated
Ebola,fever,vomiting,diarrhea,viral infection,"isolation, fluids",maintain hygiene
Rabies,fever,confusion,agitation,animal bites,vaccination,avoid contact with animals
SARS,fever,cough,breathing difficulty,viral infection,"isolation, rest",drink plenty of fluids
MERS,fever,cough,breathing difficulty,viral infection,"isolation, rest",drink plenty of fluids
COVID-19,fever,cough,loss of taste/smell,viral infection,"rest, isolation",stay hydrated
Influenza,fever,cough,sore throat,viral infection,"rest, hydration",drink plenty of fluids
Whooping Cough,cough,vomiting,fatigue,bacterial infection,antibiotics,avoid cold drinks
Scarlet Fever,rash,fever,sore throat,bacterial infection,antibiotics,maintain hydration
Meningitis,fever,headache,neck stiffness,bacterial infection,antibiotics,stay hydrated
Cholera,diarrhea,vomiting,dehydration,bacterial infection,rehydration,drink oral rehydration solution
Plague,fever,chills,swollen glands,bacterial infection,antibiotics,maintain hygiene
Typhus,fever,rash,headache,bacterial infection,antibiotics,stay hydrated
Leprosy,skin lesions,numbness,weakness,bacterial infection,antibiotics,avoid raw food
Smallpox,fever,rash,vomiting,viral infection,"isolation, vaccination",maintain hygiene
Polio,muscle weakness,paralysis,fever,viral infection,vaccination,maintain hygiene
Hantavirus,fever,muscle aches,fatigue,rodent exposure,supportive care,maintain hygiene
Lyme Disease,rash,fever,joint pain,tick bites,antibiotics,avoid ticks
West Nile Virus,fever,rash,headache,mosquito bites,pain relief,stay hydrated
Legionnaires' Disease,cough,fever,muscle pain,bacterial infection,antibiotics,avoid smoking
Swine Flu,fever,cough,sore throat,viral infection,"rest, hydration",drink plenty of fluids
Bird Flu,fever,cough,sore throat,viral infection,antiviral medication,avoid contact with birds
Japanese Encephalitis,fever,headache,vomiting,mosquito bites,vaccination,avoid mosquito bites
Lassa Fever,fever,chest pain,vomiting,rodent exposure,antiviral medication,maintain hygiene
Marburg Virus,fever,headache,bleeding,viral infection,"isolation, fluids",maintain hygiene
Rickettsia,fever,rash,muscle pain,tick bites,antibiotics,avoid ticks
Toxoplasmosis,fever,swollen glands,muscle pain,parasite infection,medication,cook meat properly
Trichinosis,diarrhea,abdominal pain,muscle pain,parasitic worms,anti-parasitic medication,cook meat properly
Giardiasis,diarrhea,nausea,abdominal pain,parasitic infection,antibiotics,drink safe water
Amebiasis,diarrhea,abdominal pain,weight loss,parasitic infection,antibiotics,drink safe water
Ascariasis,abdominal pain,nausea,weight loss,parasitic worms,anti-parasitic medication,wash hands
Hookworm,abdominal pain,anemia,fatigue,parasitic worms,anti-parasitic medication,wear shoes
Schistosomiasis,rash,fever,muscle pain,parasitic worms,anti-parasitic medication,avoid contaminated water
Elephantiasis,swelling,skin thickening,pain,parasitic worms,anti-parasitic medication,avoid mosquito bites
Onchocerciasis,rash,itching,eye pain,parasitic worms,anti-parasitic medication,avoid blackfly bites
Filariasis,fever,swelling,skin thickening,parasitic worms,anti-parasitic medication,avoid mosquito bites
Dracunculiasis,skin blisters,fever,nausea,parasitic worms,removal of worm,drink safe water
Cysticercosis,seizures,headache,muscle pain,tapeworm infection,anti-parasitic medication,cook meat properly
Echinococcosis,abdominal pain,jaundice,nausea,tapeworm infection,anti-parasitic medication,avoid contact with animals
Babesiosis,fever,chills,muscle pain,tick bites,antibiotics,avoid tick bites
Leishmaniasis,skin sores,fever,weight loss,sandfly bites,anti-parasitic medication,avoid sandfly bites
Trypanosomiasis,fever,headache,confusion,tsetse fly bites,anti-parasitic medication,avoid tsetse flies
Chagas Disease,fever,swelling,fatigue,insect bites,anti-parasitic medication,avoid insect bites
Kala-azar,fever,weight loss,abdominal pain,sandfly bites,anti-parasitic medication,avoid sandfly bites
Q Fever,fever,headache,muscle pain,animal exposure,antibiotics,avoid animal contact
